domain_name,ips,updated_date
citymarket.coop,69.163.226.36,2014-10-13 07:00:00 UTC
chathamvillage.coop,162.209.2.155,2014-10-13 07:00:00 UTC
ceci.coop,192.104.135.11,2014-10-13 07:00:00 UTC
bahn.coop,173.193.105.242,2014-10-13 07:00:00 UTC
beatthepeak.coop,54.225.220.247,2014-10-13 07:00:00 UTC
ccrtc.coop,209.132.160.30,2014-10-13 07:00:00 UTC
connections.coop,162.159.247.195 162.159.248.195,2014-10-13 07:00:00 UTC
copyrightx.coop,66.111.4.54 66.111.4.53,2014-10-13 07:00:00 UTC
agvalley.coop,64.147.32.119,2014-10-13 07:00:00 UTC
molmatric.coop,91.146.98.115,2014-10-13 07:00:00 UTC
lacoop.coop,207.164.135.40,2014-10-13 07:00:00 UTC
auroraseconda.coop,85.235.130.46,2014-10-13 07:00:00 UTC
rec.coop,68.65.51.100,2014-10-13 07:00:00 UTC
darigoldfarms.coop,66.96.161.139,2014-10-13 07:00:00 UTC
groupecapl.coop,213.186.33.83,2014-10-13 07:00:00 UTC
comptoiragricole.coop,173.193.106.14,2014-10-13 07:00:00 UTC
remagazine.coop,74.127.88.32,2014-10-13 07:00:00 UTC
sdfcu.coop,66.96.161.152,2014-10-13 07:00:00 UTC
southwesternontario.coop,216.251.43.98,2014-10-13 07:00:00 UTC
cades.coop,81.252.52.227,2014-10-13 07:00:00 UTC
sikorskyfcu.coop,165.212.168.64,2014-10-13 07:00:00 UTC
arpege.coop,213.186.33.4,2014-10-13 07:00:00 UTC
iccaustin.coop,208.113.168.38,2014-10-13 07:00:00 UTC
enkidu.coop,198.211.119.82,2014-10-13 07:00:00 UTC
cooptravelpersonaladvisor.coop,217.10.159.135,2014-10-13 07:00:00 UTC
cooperativedirect.coop,127.0.0.1,2014-10-13 07:00:00 UTC
katene.coop,213.186.33.151,2014-10-13 07:00:00 UTC
jordancu.coop,209.90.107.131,2014-10-13 07:00:00 UTC
escoletes.coop,5.39.40.57,2014-10-13 07:00:00 UTC
